id,name,album,artist,release_date,length,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
6DvgsZ0NiEPV9qYM931T1F,Telephone,The Fame Monster (International Deluxe),Lady Gaga,2009-11-18,220626,60,0.825,0.832,5,-5.853,0,0.0403,0.00587,0.000789,0.114,0.713,122.021,audio_features,spotify:track:6DvgsZ0NiEPV9qYM931T1F,https://api.spotify.com/v1/tracks/6DvgsZ0NiEPV9qYM931T1F,https://api.spotify.com/v1/audio-analysis/6DvgsZ0NiEPV9qYM931T1F,220627,4
1TfqLAPs4K3s2rJMoCokcS,Sweet Dreams (Are Made of This) - Remastered,Sweet Dreams (Are Made Of This),Eurythmics,1983-01-04,216933,81,0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,audio_features,spotify:track:1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/tracks/1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/audio-analysis/1TfqLAPs4K3s2rJMoCokcS,216933,4
37Tmv4NnfQeb0ZgUC4fOJj,Sultans Of Swing,Dire Straits,Dire Straits,1978-10-07,348400,80,0.733,0.794,5,-10.023,1,0.0307,0.0614,0.0367,0.33,0.931,148.174,audio_features,spotify:track:37Tmv4NnfQeb0ZgUC4fOJj,https://api.spotify.com/v1/tracks/37Tmv4NnfQeb0ZgUC4fOJj,https://api.spotify.com/v1/audio-analysis/37Tmv4NnfQeb0ZgUC4fOJj,348624,4
27SdWb2rFzO6GWiYDBTD9j,Cheap Thrills,This Is Acting,Sia,2016-01-29,211666,76,0.628,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,0.732,89.976,audio_features,spotify:track:27SdWb2rFzO6GWiYDBTD9j,https://api.spotify.com/v1/tracks/27SdWb2rFzO6GWiYDBTD9j,https://api.spotify.com/v1/audio-analysis/27SdWb2rFzO6GWiYDBTD9j,211667,4
1fDsrQ23eTAVFElUMaf38X,American Pie,American Pie,Don McLean,1971,516893,76,0.531,0.481,4,-11.709,0,0.06,0.699,0.0,0.0842,0.491,138.45,audio_features,spotify:track:1fDsrQ23eTAVFElUMaf38X,https://api.spotify.com/v1/tracks/1fDsrQ23eTAVFElUMaf38X,https://api.spotify.com/v1/audio-analysis/1fDsrQ23eTAVFElUMaf38X,516893,4
20bEzopfw9USM0H4KAvJLb,"Little Green Bag (From ""Reservoir Dogs"")",The Director's Choice: Quentin Tarantino - Music from His Movies,The London Film Score Orchestra,2013-02-20,193947,0,0.764,0.764,7,-5.714,1,0.0238,0.0245,0.00191,0.0694,0.779,102.007,audio_features,spotify:track:20bEzopfw9USM0H4KAvJLb,https://api.spotify.com/v1/tracks/20bEzopfw9USM0H4KAvJLb,https://api.spotify.com/v1/audio-analysis/20bEzopfw9USM0H4KAvJLb,193948,4
34dx8DACTJsc3rsJdaEIQw,Papaoutai,racine carrée,Stromae,2013-01-01,232146,73,0.734,0.809,10,-7.264,0,0.0839,0.0266,0.0,0.0642,0.254,116.024,audio_features,spotify:track:34dx8DACTJsc3rsJdaEIQw,https://api.spotify.com/v1/tracks/34dx8DACTJsc3rsJdaEIQw,https://api.spotify.com/v1/audio-analysis/34dx8DACTJsc3rsJdaEIQw,232147,4
4aMY3mR3KXJ6FXoUAMwKDp,Beatles Medley / Classical Gas (Live),Live! at the Ryman (Live),Tommy Emmanuel,2017-05-19,460700,21,0.377,0.773,9,-7.076,0,0.0374,0.167,0.376,0.981,0.45,139.076,audio_features,spotify:track:4aMY3mR3KXJ6FXoUAMwKDp,https://api.spotify.com/v1/tracks/4aMY3mR3KXJ6FXoUAMwKDp,https://api.spotify.com/v1/audio-analysis/4aMY3mR3KXJ6FXoUAMwKDp,460700,4
2XLOwhuDrVQlz3Y2XztqFs,Moves Like Jagger (Feat. Savannah Outen),Covers Vol. 1,Peter Hollens,2012-11-28,200317,0,0.682,0.864,11,-4.8,0,0.163,0.194,0.0,0.316,0.616,128.965,audio_features,spotify:track:2XLOwhuDrVQlz3Y2XztqFs,https://api.spotify.com/v1/tracks/2XLOwhuDrVQlz3Y2XztqFs,https://api.spotify.com/v1/audio-analysis/2XLOwhuDrVQlz3Y2XztqFs,200318,4
4igIYHF3B5VBxEafHauVo3,Fat Bottomed Girls - Remastered 2011,Jazz (Deluxe Remastered Version),Queen,1978-11-10,255600,66,0.337,0.684,2,-7.674,1,0.0495,0.0319,6.57e-06,0.342,0.404,88.772,audio_features,spotify:track:4igIYHF3B5VBxEafHauVo3,https://api.spotify.com/v1/tracks/4igIYHF3B5VBxEafHauVo3,https://api.spotify.com/v1/audio-analysis/4igIYHF3B5VBxEafHauVo3,255600,4
